ref	worktree	date	ahead_v3	behind_v3	ahead_main	behind_main	WEB_f8dca88	APC_60df033	CCPc_66efcd7	AFF_764effd	REV_2ee2baf	BOOK_f8dca88	CCP_e2c37c9	G1_c07e98b	G2_f25f542	G3_7796ac5	M_89e65f7	M_2e3ec8a	M_968472e	MAIN_842379b	subject
claude/ecstatic-turing-0cf4b7	-	2026-09-09 15:20	7	75	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Merge pull request #250 from huyphamsm-tappy/feat/v3-user-data-foundation
claude/eloquent-bardeen-42212c	-	2026-09-05 10:10	2	75	0	11	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Merge pull request #248 from huyphamsm-tappy/fix/bug-011-destination-scope
claude/eloquent-diffie-cb87f5	-	2026-07-29 10:39	0	521	0	459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	refactor(design-system): introduce semantic color layer for WCAG AA
claude/exciting-hertz-2b213e	C:/Users/Admin/Claude/Projects/TappyAI/tappyai-mvp/.claude/worktrees/modest-roentgen-d36e92	2026-09-04 08:58	1	75	1	13	0	0	0	0	1	0	0	0	0	0	0	0	0	0	refactor(reviews): one share-only place rule, for the three surfaces that disagr
claude/gifted-shannon-a63c5a	-	2026-08-24 08:41	0	148	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	fix(consultative): answer the question that was asked, and only claim what was s
claude/keen-goodall-04a982	-	2026-08-15 16:33	1	260	1	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	fix(ios): drop the TikTok Shop link iOS built on its own
claude/lucid-albattani-08512a	-	2026-07-30 14:18	1	488	1	426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	fix(ui): localize TripPlanCard labels and enrichment trailing-block for EN
claude/modest-roentgen-d36e92	-	2026-08-19 13:03	0	223	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	chore(controller-v2): phase 6 — retire the pre-RBAC ADMIN_IDS authorization ga
claude/nifty-sammet-44374f	-	2026-07-30 14:13	0	485	0	423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Merge branch 'main' into claude/nifty-sammet-44374f
claude/optimistic-lovelace-c2c517	-	2026-08-15 16:33	1	260	1	198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	fix(ios): drop the TikTok Shop link iOS built on its own
claude/zealous-merkle-4c7b3d	-	2026-08-01 11:15	0	452	0	390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Merge origin/main into fix/landing-hero-logo-founder-bio for Landing release
crossdomain-place-flood	-	2026-08-25 10:59	2	139	2	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	feat(entertainment): route "recommend a movie" to film knowledge, not the cinema
debug/vi-tool-provider-request	-	2026-08-15 13:31	1	272	1	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	debug: temporary metadata-only language diagnostic (Preview only, do not merge)
design/v3-phase4	C:/Users/Admin/Claude/Projects/TappyAI/tappyai-mvp/.claude/worktrees/v3-phase4-design	2026-09-15 14:03	0	0	75	13	1	0	0	0	1	1	0	0	0	0	0	0	0	0	fix(ai): correct anonymous quota config naming
diag/media-identity-source	-	2026-08-13 08:47	0	334	0	272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	feat(media): say WHERE the deployment identity was missing, not just that it was
diag/web-client-error-capture	-	2026-08-28 09:03	1	121	1	59	0	0	0	0	1	0	0	0	0	0	0	0	0	0	diag(web): TEMPORARY client-error capture for the Zalo/Chat/Home P0
docs/anon-eligibility-measured-zero	-	2026-09-01 11:10	2	95	2	33	0	0	0	0	1	0	0	0	0	0	0	0	0	0	chore: merge main (#227) — keep this branch additive
docs/b8-applied	-	2026-08-21 08:16	1	190	1	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Documentation only.
docs/ban-revocation-status	-	2026-08-21 09:20	1	186	1	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	docs(controller-v2): ban revokes sessions, and class 1 is empty again
docs/bl002-accepted	-	2026-08-22 18:29	1	164	1	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	docs(controller-v2): BL-002 accepted — G1 is closed on production
docs/c10-accepted	-	2026-08-13 11:52	0	320	0	258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	docs(controller): C10 ACCEPTED — S4 closed on production evidence
docs/c10-contract	-	2026-08-13 10:22	0	326	0	264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Merge pull request #44 from huyphamsm-tappy/fix/media-server-completion
docs/c11-session-security-contract	-	2026-08-15 10:17	13	297	13	235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	docs(controller-v2): C8 and C11 verified in production — Controller V2 closeou
docs/c11-surface-status	-	2026-08-21 08:57	1	188	1	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	docs(controller-v2): C11 session surface, and the burn-down re-measured
docs/controller-v2-alert-well-status	-	2026-08-19 14:41	1	216	1	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	docs(controller-v2): record the Alert Well as complete
docs/controller-v2-b5-status	-	2026-08-19 14:17	1	218	1	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	docs(controller-v2): record B5 Denial UX as complete and production-verified
docs/controller-v2-closeout	-	2026-08-15 10:27	1	296	1	234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	docs(controller-v2): C8, C11 and C9b ACCEPTED — Controller V2 closeout
docs/controller-v2-closure-index	-	2026-08-23 11:50	1	158	1	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	docs(controller-v2): add the closure index so a dated 🔴 is never re-opened as
docs/controller-v2-command-palette-status	-	2026-08-19 15:52	1	212	1	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	docs(controller-v2): record the Command Palette, and the act/search contract gap
docs/controller-v2-context-bar-status	-	2026-08-19 15:02	1	214	1	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	docs(controller-v2): record the Context Bar, and the date-range contract gap
docs/controller-v2-foundation-closure	-	2026-08-04 12:32	0	435	0	373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	docs(controller-v2): normalize project status across all Foundation documents
docs/controller-v2-k2-applied	-	2026-08-22 17:01	1	165	1	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	docs(controller-v2): K-2 migration applied to production, and the runbook
docs/controller-v2-layout-presets-blocked	-	2026-08-19 16:00	1	211	1	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	docs(controller-v2): Layout Presets are BLOCKED — dependency and contract audi
docs/controller-v2-m01-applied	-	2026-08-20 13:27	1	195	1	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	docs(controller-v2): Module 01 daily_snapshots applied to production, merged and
docs/controller-v2-m04-status	-	2026-08-20 13:58	2	193	2	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	docs(controller-v2): re-measure the burn-down at 81bfa06
docs/controller-v2-owner-uat-closure	-	2026-08-22 15:06	1	167	1	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	docs(controller-v2): record the Owner UAT that class D was waiting for
docs/controller-v2-phase0-reconciliation	-	2026-08-19 12:02	1	227	1	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	docs(controller-v2): phase 0 — recover the original architecture, record Decis
docs/controller-v2-phase2-m08-migration-artifact	C:/Users/Admin/Claude/Projects/TappyAI/tappyai-memberapi	2026-08-19 18:14	1	204	1	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	docs(controller-v2): Module 08 enforcement is ordered behind the migration — a
docs/controller-v2-phase5-event-bus-audit	-	2026-08-19 12:44	1	225	1	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	docs(controller-v2): phase 5 — event bus verified, first flow blocked on busin
docs/controller-v2-phase8-authority-resolved	-	2026-08-19 16:54	1	207	1	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	docs(controller-v2): document authority RESOLVED — correcting the previous ent
docs/controller-v2-phase8-founder-status	-	2026-08-19 16:31	1	209	1	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	docs(controller-v2): record Phase 8 start — Founder Hub id, and what it does n
docs/controller-v2-phase8-module-authority-audit	-	2026-08-19 16:38	1	208	1	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	docs(controller-v2): Phase 8 has no authorized implementation unit — 20-module
docs/controller-v2-phase8-module-ordering	-	2026-08-19 17:22	1	206	1	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	docs(controller-v2): the architecture DOES define module ordering — Module 14 
docs/controller-v2-phase8-schema-authority-closed	-	2026-08-19 18:02	1	205	1	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	docs(controller-v2): the bo-23/bo-10 schema conflict does not exist — correcti
docs/controller-v2-post-foundation-status	-	2026-08-19 11:25	1	228	1	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	docs(controller-v2): reconcile post-foundation production status
docs/controller-v2-shell-ux-deferral	-	2026-08-23 11:43	1	159	1	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	docs(controller-v2): close the DoD — D8/D9 defer Density and dark mode, and co
docs/controller-v2-sot-reconciliation-m08	-	2026-08-20 11:00	1	200	1	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	docs(controller-v2): reconcile the single source of truth with three merged, pro
docs/controller-v2-status-closeout	-	2026-08-22 16:19	1	166	1	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	docs(controller-v2): close out STATUS against production 6d9aecc
docs/controller-v2-status-corrections	-	2026-08-13 16:48	1	302	1	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	docs(controller-v2): correct two stale component statuses
docs/controller-v2-status-sync	C:/wtdocs	2026-08-30 13:46	2	109	2	47	0	0	0	0	1	0	0	0	0	0	0	0	0	0	docs(controller-v2): record Owner decisions of 2026-08-30 — C7 UAT, and V2.2
docs/controller-v21-uat	-	2026-08-23 17:14	1	154	1	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	docs(controller-v2): close V2 and record Home UAT
docs/correct-m30-export-target	-	2026-09-01 13:03	2	89	2	27	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Merge remote-tracking branch 'origin/main' into docs/correct-m30-export-target
docs/f10-activation-analysis	-	2026-08-10 08:39	0	354	0	292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	docs(controller-v2): F-10 activation analysis and corrected order
docs/f10-flag-forensic	-	2026-08-10 09:03	0	352	0	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	docs(controller-v2): feature-flag forensic for CONTROLLER_ORG_MEMBERSHIP_ENABLED
docs/f10-uat-closeout	-	2026-08-10 12:44	0	350	0	288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	docs(controller): close F-10 after production Head UAT
docs/feature-usage-guidance	-	2026-08-15 13:41	0	270	0	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	feat(mobile): add bilingual TappyAI feature usage guidance
docs/k1-released	-	2026-08-23 10:08	1	161	1	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	docs(controller-v2): K-1 shipped and verified on production 0ae343b
docs/m04-retention-applied	-	2026-08-20 14:59	1	191	1	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	docs(controller-v2): cohort_metrics applied to production
docs/marketing-phase2-contract	-	2026-09-01 11:50	2	93	2	31	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Merge remote-tracking branch 'origin/main' into docs/marketing-phase2-contract
docs/marketing-phase2-progress	C:/wtrecord	2026-09-02 11:18	3	75	3	13	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Merge remote-tracking branch 'origin/main' into docs/marketing-phase2-progress
docs/module09-applied	-	2026-08-21 11:15	1	181	1	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	docs(controller-v2): Module 09 applied to production, backlog re-measured
docs/module09-decision	-	2026-08-21 10:26	1	183	1	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	docs(controller-v2): correct Module 09 — class 2 to class 3, with the reason
docs/phase-c-broadcast-contract	C:/wtphasec	2026-08-31 11:16	5	106	5	44	0	0	0	0	1	0	0	0	0	0	0	0	0	0	docs(v2.2): the contract now says what actually shipped — and what did not
docs/policy-architecture-contract	-	2026-08-15 10:38	1	295	1	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	docs(policy): Policy Architecture — CONTRACT DRAFT, not ratified
docs/policy-trust-safety-map	-	2026-08-17 14:37	0	247	0	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	feat(safety): activate safety publication gate with explicit hate non-blocking r
docs/production-read-only-access	-	2026-09-01 10:42	1	97	1	35	0	0	0	0	1	0	0	0	0	0	0	0	0	0	docs(runbooks): the production read-only DB channel, and that it is currently do
docs/reconcile-marketing-contract-status	-	2026-09-01 12:06	1	92	1	30	0	0	0	0	1	0	0	0	0	0	0	0	0	0	docs(v2.2-2): STATUS/ROADMAP said no Marketing contract exists — it does
docs/release-closure	-	2026-08-21 11:34	1	179	1	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	docs(controller-v2): ENGINEERING COMPLETE — Owner UAT / Owner decisions only
docs/roadmap-m30-export-target	-	2026-09-01 13:08	1	88	1	26	0	0	0	0	1	0	0	0	0	0	0	0	0	0	docs(v2.2-2): ROADMAP explained M-30 with the bulk export, not the portability o
docs/status-production-revision	C:/wtstatus	2026-08-31 12:06	5	105	5	43	0	0	0	0	1	0	0	0	0	0	0	0	0	0	chore: merge main (#216) — keep this branch additive
docs/user-notes-applied	-	2026-08-21 10:22	1	184	1	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	docs(controller-v2): user_notes applied to production, backlog re-measured
docs/v3-nav-reconciliation	-	2026-09-06 15:22	1	38	38	13	0	0	0	0	1	0	0	0	0	0	0	0	0	0	docs(v3): DD-016 — the Android V3 bar outranks DD-003 and OD-4
entertainment-movie-intent	-	2026-08-25 11:00	1	138	1	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	feat(entertainment): route "recommend a movie" to film knowledge, not the cinema
feat/account-settings-i18n	C:/Users/Admin/Claude/Projects/TappyAI/tappyai-i18n-recover	2026-08-06 08:56	0	427	0	365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Merge pull request #7 from huyphamsm-tappy/fix/legal-back-navigation
feat/affiliate-cross-platform	D:/Claude/Projects/TappyAI/.worktrees/affiliate-xplat	2026-09-17 15:27	41	34	69	0	1	1	1	1	1	1	1	0	0	0	0	0	0	1	fix(affiliate): reconcile two merge-artifact test contracts
feat/android-anonymous-chat-on-main	C:/Users/Admin/Claude/Projects/TappyAI/tappyai-android-integration	2026-08-09 18:20	0	358	0	296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	chore(release): versionCode 4 - Games hidden supersedes the vc3 artifact
feat/android-appconnections-status	-	2026-07-18 17:12	0	627	0	565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	feat(android/appconnections): show real connection status from /api/integrations
feat/android-chat-suggested-prompts	-	2026-07-18 16:27	0	627	0	565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	feat(android/chat): dynamic suggested prompts on the general welcome
feat/android-membership-status	-	2026-07-18 16:11	0	627	0	565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	feat(android/membership): wire real subscription status (Pro/Free + quota)
feat/android-reviews-comment-posting	-	2026-07-18 15:25	0	627	0	565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	feat(android/reviews): comment posting on the detail screen
feat/android-reviews-feed-tabs	-	2026-07-18 15:44	0	627	0	565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	feat(android/reviews): feed tabs — For You / Following / Latest
feat/android-reviews-follow	-	2026-07-18 15:33	0	627	0	565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	feat(android/reviews): follow / unfollow on author profiles
feat/android-reviews-link-sharing	-	2026-07-18 15:10	0	627	0	565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	feat(android/reviews): wire link sharing (YouTube/TikTok/Facebook) in composer
feat/android-reviews-photo-upload	-	2026-07-18 14:45	0	627	0	565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	feat(android/reviews): wire real photo upload in the composer
feat/android-reviews-video-playback	-	2026-07-18 15:58	0	627	0	565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	feat(android/reviews): video playback + watch analytics in the feed
feat/android-split-bill	-	2026-07-18 16:55	1	628	1	566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	feat(android/split-bill): port the Web /split-bill calculator (was missing)
feat/anonymous-chat-android	C:/Users/Admin/Claude/Projects/TappyAI/tappyai-anon-android	2026-08-09 10:47	136	625	136	563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	chore(release): bump versionCode to 2 for Anonymous Chat V1
feat/anonymous-chat-backend	C:/Users/Admin/Claude/Projects/TappyAI/tappyai-anon-chat	2026-08-08 16:43	1	379	1	317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	feat(auth): Anonymous Chat V1 backend — quota ACL, claim RPC, profile guard
feat/backoffice-phase0	C:/Users/Admin/Claude/Projects/TappyAI/tappyai-ios-sprint	2026-08-23 13:12	159	625	159	563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	docs(ios): correct the localization figures and record what is deliberately defe
feat/backoffice-phase0-clean	-	2026-08-01 14:51	113	625	113	563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	fix(android/reviews): notification -> review detail no longer dead-ends
feat/ban-revokes-sessions	-	2026-08-21 09:14	1	187	1	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	feat(controller-v2): a ban now ends the banned user's sessions
feat/c10-distributed-rate-limit	-	2026-08-13 11:39	0	322	0	260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Merge remote-tracking branch 'origin/main' into feat/c10-distributed-rate-limit
feat/c11-session-surface	-	2026-08-21 08:51	1	189	1	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	feat(controller-v2): C11 session surface — see and end a user's sessions
feat/c14-broadcast-ui	-	2026-08-31 17:26	1	100	1	38	0	0	0	0	1	0	0	0	0	0	0	0	0	0	feat(controller): C-14 — two-step broadcast confirmation UI
feat/c6-plugin-registry-lifecycle	-	2026-08-13 12:32	0	314	0	252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	feat(controller): C6 — complete the plugin registry lifecycle
feat/c8-event-bus	-	2026-08-13 15:19	1	305	1	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	feat(controller): C8 Event Bus — transactional outbox, mechanism only
feat/c9b-typed-config	-	2026-08-13 13:20	0	307	0	245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Merge remote-tracking branch 'origin/main' into feat/c9b-typed-config
feat/ccp-canonical	D:/Claude/Projects/TappyAI/.worktrees/ccp-canonical	2026-09-17 09:31	28	34	67	11	1	1	1	0	1	1	1	0	0	0	0	0	0	0	fix(ccp): multilingual false-limitation guard (M2 + English)
feat/ccp-mvp	D:/Claude/Projects/TappyAI/.worktrees/ccp-mvp	2026-09-13 13:44	30	357	30	295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	feat(ccp): Commerce Capability Platform — Phases 0–5 (isolated, flags off)
feat/chat-stage-telemetry	C:/Users/Admin/Claude/Projects/TappyAI/tappyai-telemetry	2026-08-07 11:41	2	399	2	337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	fix(planner): keep the item price badge to the amount alone
feat/consultative-d1-d2-r1-r2-d3	D:/Claude/Projects/TappyAI/tappyai-mvp	2026-09-11 10:04	29	357	29	295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	feat(android): Deals V3 pass, chat structured cards, and their tests
feat/consultative-d3	C:/Users/Admin/Claude/Projects/TappyAI/tappyai-d3	2026-08-19 13:22	16	357	16	295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	fix(ai): ground candidate identity on the consultative presentation turn
feat/consultative-decision-experience	C:/Users/Admin/Claude/Projects/TappyAI/tappyai-v2fix	2026-08-23 18:34	7	151	7	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	feat(consultative): make a shopping result a decision, not a dump
feat/consultative-decision-quality	C:/wtdq	2026-08-24 08:08	1	149	1	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	fix(consultative): answer the question that was asked, and only claim what was s
feat/consultative-evidence-contract	-	2026-08-27 18:41	0	123	0	61	0	0	0	0	1	0	0	0	0	0	0	0	0	0	feat(consultative): A5 evidence boundary — food/spa snippet prices can't becom
feat/consultative-evidence-contract-a51	-	2026-08-27 19:20	1	122	1	60	0	0	0	0	1	0	0	0	0	0	0	0	0	0	fix(consultative): A5 price boundary skipped no-retrieval turns (P0)
feat/consultative-evidence-provenance	-	2026-08-27 18:04	1	124	1	62	0	0	0	0	1	0	0	0	0	0	0	0	0	0	feat(consultative): A5 evidence boundary — food/spa snippet prices can't becom
feat/consultative-v2-ranking	C:/Users/Admin/Claude/Projects/TappyAI/tappyai-consultative	2026-08-17 14:36	14	357	14	295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	feat(ai): finalize consultative v2
feat/consultative-v2-web	-	2026-08-17 15:18	0	238	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	fix(ai): a removed clause must not leave its dash pointing at nothing
feat/controller-home-design	-	2026-08-23 16:54	1	155	1	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	feat(controller): V2.1 Home design pass — hierarchy, honest affordances, theme
feat/controller-membership-api	-	2026-08-09 16:30	0	368	0	306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	feat(controller): membership API entry point (flag-gated, inert until activation
feat/controller-password-auth	-	2026-08-21 16:17	1	172	1	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	feat(controller-v2): the Controller signs in with email and password, not a one-
feat/controller-v2-architecture-guard-rules	-	2026-08-19 13:28	1	221	1	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	feat(controller-v2): enforce the §1 architecture rules in the Architecture Guar
feat/controller-v2-b14-module-data-ownership	-	2026-08-20 11:15	1	199	1	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	feat(controller-v2): B14 — absence of `manifest.data` means a module owns no t
feat/controller-v2-b5-alert-well	-	2026-08-19 14:36	1	217	1	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	feat(controller-v2): B5 — the Alert Well shows what needs attention now
feat/controller-v2-b5-command-palette	-	2026-08-19 15:47	1	213	1	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	feat(controller-v2): B5 — the Command Palette, navigate only
feat/controller-v2-b5-context-bar	-	2026-08-19 14:55	1	215	1	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	feat(controller-v2): B5 — the Context Bar, minus the undefined date range
feat/controller-v2-b5-denial-ux	-	2026-08-19 14:11	1	219	1	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	feat(controller-v2): B5 — a refusal from the Controller now explains itself
